id,Unnamed: 0,fl_matriz,de_natureza_juridica,sg_uf,natureza_juridica_macro,de_ramo,setor,idade_empresa_anos,idade_emp_cat,fl_me,fl_sa,fl_epp,fl_mei,fl_ltda,dt_situacao,fl_st_especial,fl_email,fl_telefone,fl_rm,nm_divisao,nm_segmento,fl_spa,fl_antt,fl_veiculo,vl_total_tancagem,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados,fl_optante_simples,qt_art,vl_total_veiculos_pesados_grupo,vl_total_veiculos_leves_grupo,vl_total_tancagem_grupo,vl_total_veiculos_antt_grupo,vl_potenc_cons_oleo_gas,fl_optante_simei,sg_uf_matriz,de_saude_tributaria,de_saude_rescencia,nu_meses_rescencia,de_nivel_atividade,de_indicador_telefone,fl_simples_irregular,vl_frota,empsetorcensitariofaixarendapopulacao,nm_meso_regiao,nm_micro_regiao,fl_passivel_iss,qt_socios,qt_socios_pf,qt_socios_pj,idade_media_socios,idade_maxima_socios,idade_minima_socios,qt_socios_st_regular,qt_socios_st_suspensa,qt_socios_masculino,qt_socios_feminino,qt_socios_pep,qt_alteracao_socio_total,qt_alteracao_socio_90d,qt_alteracao_socio_180d,qt_alteracao_socio_365d,qt_socios_pj_ativos,qt_socios_pj_nulos,qt_socios_pj_baixados,qt_socios_pj_suspensos,qt_socios_pj_inaptos,vl_idade_media_socios_pj,vl_idade_maxima_socios_pj,vl_idade_minima_socios_pj,qt_coligados,qt_socios_coligados,qt_coligados_matriz,qt_coligados_ativo,qt_coligados_baixada,qt_coligados_inapta,qt_coligados_suspensa,qt_coligados_nula,idade_media_coligadas,idade_maxima_coligadas,idade_minima_coligadas,coligada_mais_nova_ativa,coligada_mais_antiga_ativa,idade_media_coligadas_ativas,coligada_mais_nova_baixada,coligada_mais_antiga_baixada,idade_media_coligadas_baixadas,qt_coligados_sa,qt_coligados_me,qt_coligados_mei,qt_coligados_ltda,qt_coligados_epp,qt_coligados_norte,qt_coligados_sul,qt_coligados_nordeste,qt_coligados_centro,qt_coligados_sudeste,qt_coligados_exterior,qt_ufs_coligados,qt_regioes_coligados,qt_ramos_coligados,qt_coligados_industria,qt_coligados_agropecuaria,qt_coligados_comercio,qt_coligados_serviço,qt_coligados_ccivil,qt_funcionarios_coligados,qt_funcionarios_coligados_gp,media_funcionarios_coligados_gp,max_funcionarios_coligados_gp,min_funcionarios_coligados_gp,vl_folha_coligados,media_vl_folha_coligados,max_vl_folha_coligados,min_vl_folha_coligados,vl_folha_coligados_gp,media_vl_folha_coligados_gp,max_vl_folha_coligados_gp,min_vl_folha_coligados_gp,faturamento_est_coligados,media_faturamento_est_coligados,max_faturamento_est_coligados,min_faturamento_est_coligados,faturamento_est_coligados_gp,media_faturamento_est_coligados_gp,max_faturamento_est_coligados_gp,min_faturamento_est_coligados_gp,total_filiais_coligados,media_filiais_coligados,max_filiais_coligados,min_filiais_coligados,qt_coligados_atividade_alto,qt_coligados_atividade_medio,qt_coligados_atividade_baixo,qt_coligados_atividade_mt_baixo,qt_coligados_atividade_inativo,qt_coligadas,sum_faturamento_estimado_coligadas,de_faixa_faturamento_estimado,de_faixa_faturamento_estimado_grupo,vl_faturamento_estimado_aux,vl_faturamento_estimado_grupo_aux,qt_ex_funcionarios,qt_funcionarios_grupo,percent_func_genero_masc,percent_func_genero_fem,idade_ate_18,idade_de_19_a_23,idade_de_24_a_28,idade_de_29_a_33,idade_de_34_a_38,idade_de_39_a_43,idade_de_44_a_48,idade_de_49_a_53,idade_de_54_a_58,idade_acima_de_58,grau_instrucao_macro_analfabeto,grau_instrucao_macro_escolaridade_fundamental,grau_instrucao_macro_escolaridade_media,grau_instrucao_macro_escolaridade_superior,grau_instrucao_macro_desconhecido,total,meses_ultima_contratacaco,qt_admitidos_12meses,qt_desligados_12meses,qt_desligados,qt_admitidos,media_meses_servicos_all,max_meses_servicos_all,min_meses_servicos_all,media_meses_servicos,max_meses_servicos,min_meses_servicos,qt_funcionarios,qt_funcionarios_12meses,qt_funcionarios_24meses,tx_crescimento_12meses,tx_crescimento_24meses,tx_rotatividade,qt_filiais
5c922993d111c6e989e617af5114954ff5e05499ad49e333f7d9f1bfca1cbd1f,404851,True,SOCIEDADE EMPRESARIA LIMITADA,PI,ENTIDADES EMPRESARIAIS,COMERCIO POR ATACADO,COMERCIO,21.63013698630137,> 20,False,False,False,False,False,2001-11-10,False,True,True,SIM,COMERCIO POR ATACADO EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,True,True,,,9.0,18.0,False,,18.0,9.0,,,21.0,False,PI,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,423847.0,680.63,CENTRO NORTE PIAUIENSE,TERESINA,True,2.0,2.0,0.0,52.5,54.0,51.0,2.0,,1.0,1.0,,,,,,,,,,,,,,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,164.16666666666666,204.46666666666667,123.86666666666666,123.86666666666666,204.46666666666667,164.16666666666666,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,39.0,39.0,39.0,39.0,39.0,2555193.5,2555193.5,2555193.5,2555193.5,2555193.5,2555193.5,2555193.5,2555193.5,6597984.0,3298992.0,6387984.0,210000.0,6597984.0,3298992.0,6387984.0,210000.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,6597984.0,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",27303480.0,27303480.0,300.0,96.0,85.42,14.58,3.0,7.0,12.0,11.0,16.0,15.0,17.0,9.0,4.0,2.0,,14.0,76.0,6.0,,96.0,4.6,16.0,10.0,300.0,401.0,29.215960099750642,261.3666666666667,-0.5,68.69207920792078,261.3666666666667,4.6,101.0,97.0,119.0,4.123711340206193,-15.126050420168069,10.20408163265306,1
81e062f5554447eb5a8ddfdcfe63ce42752b4cb311f1e84644bb35a856465ab9,322437,True,MUNICIPIO,MA,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,21.835616438356166,> 20,False,False,False,False,False,2005-09-24,False,False,False,NAO,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,2.0,4.0,False,,4.0,2.0,,,,False,MA,VERDE,ACIMA DE 1 ANO,22.0,ALTA,BOA,False,301930.0,304.75,OESTE MARANHENSE,PINDARE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",31579308.0,31579308.0,17.0,225.0,28.0,72.0,,,,19.0,33.0,58.0,47.0,35.0,16.0,17.0,,14.0,118.0,93.0,,225.0,116.4,0.0,0.0,17.0,242.0,170.34283746556468,251.56666666666663,20.133333333333333,178.17125925925916,251.56666666666663,116.4,225.0,225.0,225.0,0.0,0.0,0.0,0
d3cff839d04d7f7b271e853eded1055aeaea077b7b19655cdfe47979453174d9,311098,False,SOCIEDADE EMPRESARIA LIMITADA,AM,ENTIDADES EMPRESARIAIS,COMERCIO VAREJISTA,COMERCIO,21.50958904109589,> 20,False,False,False,False,False,2005-01-08,False,False,True,SIM,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,False,,,,,False,,3.0,6.0,,,,False,AM,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,,2270.2,CENTRO AMAZONENSE,MANAUS,False,3.0,3.0,0.0,47.33333333333334,63.0,38.0,3.0,,2.0,1.0,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,276.0,326.1333333333333,250.9333333333333,250.9333333333333,326.1333333333333,276.0,,,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,145.0,708.0,236.0,298.0,127.0,8489836.75,2829945.583333333,3049747.2,2452161.5,42181299.5,14060433.166666664,17742110.0,7603761.5,37544861.0,12514953.666666664,15248736.0,7356485.0,174309536.0,58103178.66666666,69299320.0,36040590.0,16.0,5.333333333333333,8.0,2.0,0.0,0.0,0.0,0.0,0.0,,,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",33485400.0,96046430.0,480.0,369.0,88.68,11.32,6.0,34.0,21.0,19.0,10.0,11.0,2.0,2.0,1.0,,,,104.0,2.0,,106.0,2.2,64.0,68.0,482.0,591.0,17.304753820033948,166.36666666666667,-0.8,28.30703363914375,136.86666666666667,2.2,109.0,115.0,142.0,-5.21739130434783,-23.239436619718308,61.261261261261254,8
43861b466824ca75bfc79cfae05215c01df51abca048753e6c90197ef930d082,310530,True,SOCIEDADE EMPRESARIA LIMITADA,MA,ENTIDADES EMPRESARIAIS,INDUSTRIA DA CONSTRUCAO,CONSTRUÇÃO CIVIL,23.56438356164384,> 20,False,False,False,False,False,2005-09-24,False,False,False,SIM,CONSTRUCAO DE EDIFICIOS,CONSTRUCAO,False,False,True,,,6.0,3.0,False,13.0,3.0,6.0,,,,False,MA,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,135795.0,4093.74,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,True,2.0,2.0,0.0,41.5,55.0,28.0,2.0,,1.0,1.0,,,,,,,,,,,,,,5.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,65.46000000000001,95.83333333333331,26.53333333333333,26.53333333333333,95.83333333333331,65.46000000000001,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,3.0,21.0,21.0,7.0,20.0,0.0,1256990.44921875,628495.224609375,1195171.2,61819.2,1256990.44921875,628495.224609375,1195171.2,61819.2,3143980.8984375,628796.1796875,2390342.5,123638.4,3143980.8984375,628796.1796875,2390342.5,123638.4,,,,,0.0,0.0,0.0,0.0,0.0,5.0,3143980.8984375,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",25191324.0,25611324.0,1657.0,147.0,93.88,6.12,,8.0,19.0,26.0,24.0,18.0,11.0,15.0,13.0,13.0,,102.0,40.0,5.0,,147.0,2.933333333333333,55.0,22.0,1657.0,1804.0,16.267333703909593,5039.333333333333,-0.5333333333333333,40.87732426303853,247.26666666666668,2.933333333333333,147.0,114.0,251.0,28.947368421052637,-41.43426294820717,16.85823754789272,2
35d2eb487dac159e4467c8c1e1d7c7f03307e7a6b1561279a732c23ac1c86096,291026,True,SOCIEDADE EMPRESARIA LIMITADA,PI,ENTIDADES EMPRESARIAIS,INDUSTRIA DA CONSTRUCAO,CONSTRUÇÃO CIVIL,22.86575342465753,> 20,False,False,False,False,False,2005-11-03,False,False,False,SIM,CONSTRUCAO DE EDIFICIOS,CONSTRUCAO,False,False,True,,,1.0,0.0,False,,0.0,1.0,,,,False,PI,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,34215.0,4130.9,CENTRO NORTE PIAUIENSE,TERESINA,True,2.0,2.0,0.0,57.5,59.0,56.0,2.0,,1.0,1.0,,,,,,,,,,,,,,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,167.46666666666667,255.2,79.73333333333333,79.73333333333333,255.2,167.46666666666667,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,123638.3984375,123638.3984375,123638.4,123638.4,123638.3984375,123638.3984375,123638.4,123638.4,580915.1875,290457.59375,370915.2,210000.0,580915.1875,290457.59375,370915.2,210000.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,580915.1875,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",26788320.0,26788320.0,1063.0,169.0,96.45,3.55,,13.0,9.0,23.0,28.0,37.0,25.0,11.0,12.0,11.0,7.0,133.0,21.0,8.0,,169.0,2.3,99.0,50.0,1064.0,1235.0,11.671266233766232,218.0,-0.5666666666666667,21.611306042884983,218.0,2.3,171.0,119.0,273.0,43.69747899159664,-37.362637362637365,34.129692832764505,0
0ecf3ebbfe654b9a4b02e068c80263c7fede693a46899a97f181b85ffc662b5b,286364,True,SOCIEDADE EMPRESARIA LIMITADA,AM,ENTIDADES EMPRESARIAIS,COMERCIO E REPARACAO DE VEICULOS,COMERCIO,21.342465753424662,> 20,False,False,False,False,False,2005-09-24,False,True,True,SIM,COMERCIO E REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,True,,,9.0,3.0,False,3.0,3.0,9.0,,,,False,AM,VERDE,ACIMA DE 1 ANO,48.0,ALTA,BOA,False,565922.0,2164.4,CENTRO AMAZONENSE,MANAUS,False,2.0,2.0,0.0,68.5,70.0,67.0,2.0,,1.0,1.0,,,,,,,,,,,,,,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,216.01666666666665,460.0,132.5,132.5,460.0,216.01666666666665,,,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,327.0,328.0,82.0,184.0,8.0,23573722.4375,5893430.609375,12240202.0,886075.2,23635541.625,5908885.40625,12240202.0,947894.4,82693483.0,20673370.75,45231050.0,2658225.5,83508940.75,20877235.1875,45441050.0,3263683.2,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,82693483.0,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",33691464.0,33691464.0,180.0,64.0,78.13,21.88,,7.0,4.0,6.0,9.0,15.0,12.0,3.0,5.0,3.0,,6.0,39.0,19.0,,64.0,2.7666666666666666,15.0,9.0,180.0,246.0,38.43904761904761,215.9333333333333,0.4,62.382323232323245,215.9333333333333,2.7666666666666666,66.0,60.0,68.0,10.000000000000009,-2.9411764705882364,14.285714285714285,0
83ff1cad31d150ea6673dd7ce897ec80980871ad59a6d008c6da9afd86010ff6,281244,True,MUNICIPIO,RN,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,21.83287671232877,> 20,False,False,False,False,False,2005-11-03,False,False,False,NAO,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,4.0,4.0,False,5.0,4.0,4.0,,,,False,RN,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,371960.0,356.35,OESTE POTIGUAR,SERRA DE SAO MIGUEL,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",32455080.0,32455080.0,134.0,209.0,44.5,55.5,,2.0,18.0,23.0,27.0,43.0,21.0,32.0,15.0,28.0,,10.0,125.0,74.0,,209.0,28.3,0.0,0.0,134.0,343.0,108.72507288629734,5014.966666666666,0.6333333333333333,134.62599681020728,264.93333333333334,28.3,209.0,209.0,284.0,0.0,-26.40845070422535,0.0,1
df95b7f3ad63d35f1be8c9ef2c2aa74e40f230317eed5efa816563340a7ee53f,179265,True,MUNICIPIO,MA,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,21.81643835616439,> 20,False,False,False,False,False,2005-11-03,False,False,False,NAO,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,1.0,1.0,False,,1.0,1.0,,,,False,MA,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,69817.0,688.53,CENTRO MARANHENSE,ALTO MEARIM E GRAJAU,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",28694412.0,29624412.0,28.0,199.0,34.67,65.33,,,1.0,18.0,36.0,36.0,40.0,27.0,29.0,12.0,,1.0,82.0,116.0,,199.0,34.36666666666667,0.0,0.0,29.0,228.0,161.00994152046798,367.26666666666665,11.133333333333333,167.50167504187627,367.13333333333327,34.36666666666667,199.0,199.0,199.0,0.0,0.0,0.0,1
931008de17675b8089f461b1adb94b298b6eaeea98c5235d87ca3863547566b4,165543,True,SOCIEDADE EMPRESARIA LIMITADA,AM,ENTIDADES EMPRESARIAIS,COMERCIO VAREJISTA,COMERCIO,21.46575342465753,> 20,False,False,False,False,False,2005-05-14,False,False,True,SIM,COMERCIO VAREJISTA,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,True,,,5.0,6.0,False,2.0,6.0,5.0,,,,False,AM,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,220813.0,1115.3,CENTRO AMAZONENSE,MANAUS,True,2.0,2.0,0.0,50.0,50.0,50.0,2.0,,1.0,1.0,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,81.86666666666666,81.86666666666666,81.86666666666666,81.86666666666666,81.86666666666666,81.86666666666666,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,32.0,32.0,32.0,32.0,32.0,1998820.75,1998820.75,1998820.8,1998820.8,1998820.75,1998820.75,1998820.8,1998820.8,5996462.5,5996462.5,5996462.5,5996462.5,5996462.5,5996462.5,5996462.5,5996462.5,,,,,0.0,0.0,0.0,0.0,0.0,1.0,5996462.5,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",27921672.0,30258068.0,397.0,104.0,89.25,10.75,1.0,7.0,15.0,21.0,12.0,14.0,7.0,7.0,4.0,5.0,,10.0,82.0,1.0,,93.0,2.6666666666666665,3.0,12.0,397.0,493.0,18.912966734555358,161.2,-0.5333333333333333,45.5736111111111,161.2,2.6666666666666665,96.0,108.0,153.0,-11.111111111111116,-37.25490196078432,11.940298507462687,3
afcf826bfd76e42b891be6546e4cd2d938907cc12d01587e415475c11a952486,15962,True,SOCIEDADE EMPRESARIA LIMITADA,MA,ENTIDADES EMPRESARIAIS,COMERCIO E REPARACAO DE VEICULOS,COMERCIO,20.91506849315068,> 20,False,False,False,False,False,2004-12-04,False,True,False,SIM,COMERCIO E REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,False,False,False,,,,,True,,0.0,0.0,,,,False,MA,VERDE,ACIMA DE 1 ANO,23.0,ALTA,,False,,716.44,OESTE MARANHENSE,IMPERATRIZ,True,3.0,3.0,0.0,55.0,55.0,55.0,2.0,,1.0,1.0,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,151.63333333333333,297.1666666666667,33.96666666666667,33.96666666666667,297.1666666666667,151.63333333333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,15.0,15.0,7.5,8.0,7.0,1009713.5625,504856.78125,535766.4,473947.2,1009713.5625,504856.78125,535766.4,473947.2,3239140.875,1079713.625,1607299.2,210000.0,3239140.875,1079713.625,1607299.2,210000.0,,,,,0.0,0.0,0.0,0.0,0.0,3.0,3239140.875,"DE R$ 10.000.000,01 A R$ 30.000.000,00","DE R$ 10.000.000,01 A R$ 30.000.000,00",23697360.0,23697360.0,111.0,69.0,91.3,8.7,1.0,10.0,9.0,22.0,5.0,12.0,5.0,5.0,,,,16.0,49.0,4.0,,69.0,2.7333333333333334,20.0,7.0,111.0,180.0,25.60962962962963,180.4333333333333,-0.03333333333333333,35.553623188405815,180.4333333333333,2.7333333333333334,69.0,57.0,56.0,21.052631578947366,23.214285714285715,11.2,0
